sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2020-06-11;48,55;49,10;49,00;49,00;48,725;48,775;48,769;1287500;62790000;4;
2020-06-10;49,10;49,25;49,05;49,50;49,05;49,50;49,059;153024;7507188;3;
2020-06-09;49,00;49,70;49,35;49,35;49,35;49,35;49,35;2615000;129050250;4;
2020-06-08;49,20;49,90;49,75;49,80;49,40;49,40;49,685;1560000;77508000;4;
2020-06-05;49,75;50,00;49,60;50,00;49,05;50,00;49,755;623000;30997150;5;
2020-06-04;49,20;49,60;49,60;49,60;49,00;49,50;49,396;1014500;50111700;4;
2020-06-03;49,10;49,65;49,50;49,60;49,30;49,30;49,512;1153350;57105155;5;
2020-06-02;48,80;49,75;49,30;49,30;49,30;49,30;49,30;600000;29580000;1;
2020-05-29;48,70;49,25;49,25;49,25;49,25;49,25;49,25;500000;24625000;1;
2020-05-28;48,70;49,95;49,00;49,50;48,75;49,50;49,248;1005000;49493750;3;
2020-05-27;48,60;49,50;49,75;49,75;49,00;49,00;49,219;2402000;118224500;4;
2020-05-26;49,00;49,90;49,40;49,90;49,30;49,90;49,328;1317800;65003540;6;
2020-05-25;47,80;49,10;48,00;48,50;48,00;48,50;48,322;2259000;109158800;6;
2020-05-22;47,30;48,60;48,00;48,60;48,00;48,60;48,353;107000;5133870;3;
2020-05-20;47,50;48,85;49,35;49,60;48,30;48,30;49,009;5448000;266998500;13;
2020-05-19;48,80;49,50;50,00;50,00;48,90;48,90;49,299;1120200;55224194,8;12;
2020-05-18;49,50;50,50;49,70;50,50;49,70;50,50;49,945;2616000;130655900;5;
2020-05-15;48,55;49,50;49,00;49,00;49,00;49,00;49,00;523000;25627000;2;
2020-05-14;48,40;49,00;48,85;49,525;48,40;48,40;49,055;1005000;49299750;4;
2020-05-13;49,05;50,50;49,60;50,50;49,05;49,05;49,876;730000;36409275;5;
2020-05-12;47,60;;48,00;49,00;48,00;49,00;48,534;1734216;84232822,5;8;
2020-05-11;47,85;48,15;48,00;48,00;48,00;48,00;48,00;4200;201600;2;
2020-05-08;47,60;48,65;47,00;48,55;47,00;48,00;47,368;3294209;156587270,9;12;
2020-05-07;45,85;46,15;46,00;46,10;46,00;46,00;46,026;50200;2310500;4;
2020-05-06;45,40;46,00;45,50;46,00;45,40;46,00;45,581;100494;4580579,3;7;
2020-05-05;45,50;46,55;45,875;45,875;45,20;45,50;45,855;1030477;47252703,5;4;
2020-05-04;45,40;46,30;;;;46,30;;;;0;
2020-04-30;45,90;46,90;47,35;47,35;46,30;46,30;46,502;1660836;77320706,8;7;
2020-04-29;47,30;48,10;47,95;47,95;47,30;47,70;47,691;2712400;129355680;6;
2020-04-28;47,00;47,90;47,30;47,30;47,30;47,30;47,30;1000000;47300000;1;
2020-04-27;47,00;48,00;47,70;47,70;47,70;47,70;47,70;681496;32499659,2;3;
2020-04-24;47,65;47,80;47,85;47,85;47,85;47,85;47,85;39200;1872280;2;
2020-04-22;46,50;47,85;46,10;47,30;46,10;47,30;46,942;504902;23700982,2;4;
2020-04-21;46,30;47,80;48,20;48,20;46,60;46,60;47,274;2114861;99640438;8;
2020-04-20;46,40;48,20;48,20;48,20;48,20;48,20;48,20;77400;3672270;2;
2020-04-17;46,70;48,60;48,00;48,20;48,00;48,20;48,088;1250000;60110000;3;
2020-04-16;47,00;48,45;;;;48,00;;;;0;
2020-04-15;47,00;48,50;48,80;48,80;48,00;48,00;48,032;520490;24999912;2;
2020-04-14;46,70;48,50;48,00;48,00;48,00;48,00;48,00;278000;13344000;2;
2020-04-08;47,70;48,25;48,00;48,00;47,70;47,70;47,75;2771800;132854040;4;
2020-04-07;47,00;48,60;48,20;48,60;48,20;48,40;48,45;1635244;79227721,6;7;
